,0,1,2,3,4,5,6,7,8,9,10,11
4992,1674028800000,21307.94000000,21316.77000000,21294.16000000,21302.67000000,736.25123000,1674029099999,15686591.75216600,21606,376.67447000,8025769.51146500,0
4993,1674029100000,21302.66000000,21307.48000000,21277.04000000,21292.61000000,700.98739000,1674029399999,14925431.12691750,20024,321.39079000,6843268.92914260,0
4994,1674029400000,21291.70000000,21298.09000000,21272.71000000,21292.52000000,565.54204000,1674029699999,12038028.44667520,18780,264.66733000,5633818.32226410,0
4995,1674029700000,21292.52000000,21293.21000000,21250.00000000,21258.77000000,974.35393000,1674029999999,20724734.27199410,27335,392.88455000,8357035.47603870,0
4996,1674030000000,21258.21000000,21278.68000000,21216.16000000,21235.29000000,1345.16087000,1674030299999,28579872.01397750,34989,594.49644000,12631339.30362970,0
4997,1674030300000,21234.44000000,21249.22000000,21227.22000000,21233.02000000,702.10842000,1674030599999,14910784.02654160,22671,322.98900000,6859548.11097820,0
4998,1674030600000,21233.73000000,21249.61000000,21210.00000000,21247.23000000,771.49179000,1674030899999,16379606.55859720,22928,378.19007000,8029716.10202610,0
4999,1674030900000,21247.23000000,21258.17000000,21220.55000000,21249.73000000,678.95850000,1674031199999,14421990.53648530,18204,339.27883000,7206834.05575630,0
5000,1674031200000,21250.62000000,21258.32000000,21241.32000000,21256.70000000,492.91595000,1674031499999,10474162.55406430,14090,268.56738000,5706998.63825550,0
5001,1674031500000,21257.50000000,21266.81000000,21247.62000000,21261.55000000,499.62027000,1674031799999,10621009.05273480,16363,264.25895000,5617810.27349400,0
5002,1674031800000,21261.55000000,21263.00000000,21241.62000000,21243.78000000,574.28693000,1674032099999,12204809.59202890,18925,268.17975000,5699489.64631390,0
5003,1674032100000,21244.33000000,21250.42000000,21218.43000000,21249.31000000,655.24755000,1674032399999,13915294.52704710,20596,296.56810000,6298340.30258410,0
5004,1674032400000,21249.31000000,21253.29000000,21213.91000000,21217.44000000,614.91072000,1674032699999,13058155.72320240,19916,237.26475000,5038963.04980310,0
5005,1674032700000,21217.44000000,21248.39000000,21151.00000000,21241.61000000,1767.43499000,1674032999999,37482178.51311610,37658,774.92776000,16436246.76554320,0
5006,1674033000000,21241.61000000,21256.72000000,21234.24000000,21247.81000000,960.69601000,1674033299999,20411905.86769080,23508,535.82013000,11385035.39528730,0
5007,1674033300000,21247.47000000,21261.11000000,21226.15000000,21259.16000000,712.37950000,1674033599999,15135782.45134820,20103,373.46224000,7935304.88380040,0
5008,1674033600000,21259.18000000,21282.00000000,21259.18000000,21263.83000000,880.44635000,1674033899999,18727611.02148900,21822,503.57344000,10711491.54329920,0
5009,1674033900000,21263.48000000,21267.75000000,21247.68000000,21252.80000000,509.93443000,1674034199999,10839128.95871380,15597,230.09238000,4890843.48920440,0
5010,1674034200000,21252.80000000,21257.68000000,21222.73000000,21230.52000000,590.09053000,1674034499999,12534255.77692490,17612,247.04685000,5247803.84017740,0
5011,1674034500000,21228.93000000,21236.72000000,21199.00000000,21205.66000000,935.53868000,1674034799999,19849192.62313130,24118,404.17603000,8575733.29980100,0
5012,1674034800000,21206.52000000,21220.59000000,21183.68000000,21187.83000000,912.84505000,1674035099999,19354205.56698730,23138,416.34808000,8827685.91667950,0
5013,1674035100000,21187.83000000,21225.12000000,21178.00000000,21223.61000000,1067.84184000,1674035399999,22637856.26810050,25232,470.44354000,9974692.95406870,0
5014,1674035400000,21223.61000000,21233.77000000,21208.72000000,21226.37000000,595.10419000,1674035699999,12629898.74367790,16665,271.33596000,5758817.00869970,0
5015,1674035700000,21226.37000000,21237.26000000,21225.14000000,21230.09000000,493.28479000,1674035999999,10472798.85054070,15533,263.58740000,5596238.40501070,0
5016,1674036000000,21230.54000000,21236.47000000,21209.00000000,21233.81000000,750.85981000,1674036299999,15934225.53004220,20311,348.34734000,7392732.10166250,0
5017,1674036300000,21233.27000000,21243.80000000,21223.58000000,21240.93000000,562.69813000,1674036599999,11949026.67924020,16156,291.11601000,6182014.51777350,0
5018,1674036600000,21240.54000000,21241.18000000,21219.00000000,21229.13000000,503.55479000,1674036899999,10690027.09554290,17006,247.70088000,5258528.68165230,0
5019,1674036900000,21229.13000000,21249.00000000,21219.19000000,21246.20000000,549.63505000,1674037199999,11672051.06279280,17907,283.56581000,6021853.25411680,0
5020,1674037200000,21246.19000000,21257.31000000,21238.56000000,21253.01000000,507.04855000,1674037499999,10773316.37445220,15985,264.09606000,5611466.84366770,0
5021,1674037500000,21252.51000000,21256.99000000,21231.42000000,21240.24000000,628.37611000,1674037799999,13348264.98536310,17564,266.63028000,5663952.51615240,0
5022,1674037800000,21239.71000000,21242.66000000,21210.53000000,21218.43000000,614.94540000,1674038099999,13052204.40492680,18180,273.34270000,5801865.75412800,0
5023,1674038100000,21218.43000000,21222.00000000,21200.01000000,21201.07000000,634.64785000,1674038399999,13462493.28831080,18177,283.56169000,6015330.07609040,0
5024,1674038400000,21201.07000000,21207.42000000,21187.06000000,21192.83000000,813.07989000,1674038699999,17234311.21120500,21343,364.60358000,7728448.41161360,0
5025,1674038700000,21192.18000000,21209.60000000,21190.62000000,21207.28000000,578.11009000,1674038999999,12256677.36271970,18109,326.30476000,6918344.81998440,0
5026,1674039000000,21206.72000000,21210.00000000,21191.87000000,21199.80000000,516.20604000,1674039299999,10943558.39057210,16677,268.13161000,5684479.90130050,0
5027,1674039300000,21198.84000000,21203.11000000,21164.51000000,21183.83000000,824.63466000,1674039599999,17468015.85553890,22327,375.13912000,7946722.69960990,0
5028,1674039600000,21183.02000000,21197.97000000,21172.90000000,21193.93000000,605.57323000,1674039899999,12830041.08851610,19662,296.99270000,6292625.06414170,0
5029,1674039900000,21192.31000000,21204.28000000,21190.00000000,21197.29000000,547.15131000,1674040199999,11598053.51997080,17671,295.51313000,6264231.86216990,0
5030,1674040200000,21197.29000000,21214.07000000,21193.80000000,21212.08000000,596.95218000,1674040499999,12656788.78970480,17678,319.32087000,6770514.24990290,0
5031,1674040500000,21212.76000000,21222.74000000,21206.04000000,21211.28000000,624.78068000,1674040799999,13254851.80298260,17960,320.77559000,6805436.01599280,0
5032,1674040800000,21211.28000000,21211.97000000,21186.76000000,21201.75000000,664.73983000,1674041099999,14091252.63556140,17989,348.61781000,7389901.54702410,0
5033,1674041100000,21202.48000000,21214.44000000,21192.11000000,21210.39000000,522.88098000,1674041399999,11085947.58066590,15861,251.28920000,5327850.81664110,0
